name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),price_range,price_range_sort
The Biryani Cafe,No,No,4.1,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300.0,Delivery,Banashankari,Budget (₹0-300),1
LSD Cafe,No,No,2.9,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700.0,Delivery,Banashankari,Premium (₹601-1000),3
Rolls On Wheels,No,No,3.6,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300.0,Delivery,Banashankari,Budget (₹0-300),1
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,South Indian,150.0,Delivery,Banashankari,Budget (₹0-300),1
Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,"Biryani, South Indian",300.0,Delivery,Banashankari,Budget (₹0-300),1
Kolbeh,No,No,3.7,22,Banashankari,Quick Bites,Fast Food,500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Upahar Sagar,No,No,3.8,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350.0,Delivery,Banashankari,Mid Range (₹301-600),2
Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Frozen Bottle,Yes,No,4.2,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
Parimala Sweets,No,No,3.5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200.0,Delivery,Banashankari,Budget (₹0-300),1
Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700.0,Delivery,Banashankari,Premium (₹601-1000),3
The Big O Bakes,No,No,4.0,66,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,Budget (₹0-300),1
Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600.0,Delivery,Banashankari,Mid Range (₹301-600),2
Krishna Sagar,No,No,3.5,31,Banashankari,Quick Bites,North Indian,200.0,Delivery,Banashankari,Budget (₹0-300),1
Dessert Rose,No,No,3.5,7,Banashankari,Dessert Parlor,Desserts,500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Quick Bites,Biryani,250.0,Delivery,Banashankari,Budget (₹0-300),1
Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,Ice Cream,300.0,Delivery,Banashankari,Budget (₹0-300),1
Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,North Indian,600.0,Delivery,Banashankari,Mid Range (₹301-600),2
Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800.0,Delivery,Banashankari,Premium (₹601-1000),3
Kaggis,No,No,3.8,64,Banashankari,Quick Bites,"Fast Food, Bakery",250.0,Delivery,Banashankari,Budget (₹0-300),1
Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,"North Indian, Iranian",950.0,Delivery,Banashankari,Premium (₹601-1000),3
Chatar Patar,No,No,3.7,65,Banashankari,Quick Bites,"Fast Food, Street Food",300.0,Delivery,Banashankari,Budget (₹0-300),1
Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
Kidambi's Kitchen,No,No,3.5,52,Banashankari,Quick Bites,South Indian,300.0,Delivery,Banashankari,Budget (₹0-300),1
Mane Thindi,No,No,3.7,130,Banashankari,Quick Bites,South Indian,200.0,Delivery,Banashankari,Budget (₹0-300),1
Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,Quick Bites,"South Indian, Biryani",300.0,Delivery,Banashankari,Budget (₹0-300),1
Floured-Baked With Love,No,No,3.8,45,Banashankari,"Takeaway, Delivery",Bakery,400.0,Delivery,Banashankari,Mid Range (₹301-600),2
CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600.0,Delivery,Banashankari,Mid Range (₹301-600),2
Cakes & Slices,No,No,3.5,13,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,Budget (₹0-300),1
Spice 9,No,No,3.4,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300.0,Delivery,Banashankari,Budget (₹0-300),1
Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Quick Bites,Biryani,300.0,Delivery,Banashankari,Budget (₹0-300),1
Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,North Indian,300.0,Delivery,Banashankari,Budget (₹0-300),1
Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,Quick Bites,North Indian,150.0,Delivery,Banashankari,Budget (₹0-300),1
Just Bake,No,No,3.4,8,Banashankari,Bakery,"Bakery, Desserts",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
K27 - The Pub,No,No,3.1,30,Banashankari,Bar,"Chinese, North Indian",1000.0,Delivery,Banashankari,Premium (₹601-1000),3
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Banashankari,Budget (₹0-300),1
New Mangalore Lunch Home,No,No,3.3,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200.0,Delivery,Banashankari,Budget (₹0-300),1
Coffee Bytes,No,No,3.1,6,Banashankari,Quick Bites,"Fast Food, South Indian",100.0,Delivery,Banashankari,Budget (₹0-300),1
Parjanya Chat Zone,No,No,3.3,17,Banashankari,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari,Budget (₹0-300),1
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery,Banashankari,Budget (₹0-300),1
Ruchi Maayaka,No,No,3.3,8,Banashankari,Delivery,South Indian,100.0,Delivery,Banashankari,Budget (₹0-300),1
Anna Kuteera,Yes,No,4.0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450.0,Delivery,Banashankari,Mid Range (₹301-600),2
Darbar,No,No,3.0,98,Banashankari,Bar,"North Indian, Chinese",800.0,Delivery,Banashankari,Premium (₹601-1000),3
Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,Quick Bites,South Indian,200.0,Delivery,Banashankari,Budget (₹0-300),1
Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Udupi Upahar,Yes,No,3.8,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300.0,Delivery,Banashankari,Budget (₹0-300),1
House Of Kebabs,Yes,No,3.8,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650.0,Delivery,Banashankari,Premium (₹601-1000),3
Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
KFC,Yes,No,3.8,505,Banashankari,Quick Bites,"Burger, Fast Food",450.0,Delivery,Banashankari,Mid Range (₹301-600),2
Roll Over,Yes,No,4.1,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Imperial Restaurant,Yes,No,3.7,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750.0,Delivery,Banashankari,Premium (₹601-1000),3
Lassi Shop,Yes,No,3.9,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150.0,Delivery,Banashankari,Budget (₹0-300),1
The Fortuna,Yes,No,3.0,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250.0,Delivery,Banashankari,Budget (₹0-300),1
Wahab,Yes,No,3.7,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350.0,Delivery,Banashankari,Mid Range (₹301-600),2
Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",Biryani,300.0,Delivery,Banashankari,Budget (₹0-300),1
New Gowda's Fried Chicken,Yes,No,3.3,12,Banashankari,Quick Bites,Biryani,300.0,Delivery,Banashankari,Budget (₹0-300),1
Canton,Yes,No,3.6,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800.0,Delivery,Banashankari,Premium (₹601-1000),3
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300.0,Delivery,Banashankari,Budget (₹0-300),1
The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,Cafe,"Cafe, Beverages",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
HOT COFFEE,Yes,No,4.1,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150.0,Delivery,Banashankari,Budget (₹0-300),1
Patio 805,Yes,Yes,4.1,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200.0,Delivery,Banashankari,Luxury (₹1000+),4
Lassi Corner,Yes,No,3.7,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150.0,Delivery,Banashankari,Budget (₹0-300),1
Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300.0,Delivery,Banashankari,Budget (₹0-300),1
Kanti Sweets,Yes,No,4.0,115,Banashankari,Sweet Shop,"Mithai, Street Food",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
Vegetalia,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
Aramane Donne Biryani,Yes,No,3.5,57,Banashankari,Quick Bites,Biryani,200.0,Delivery,Banashankari,Budget (₹0-300),1
Ande Ka Funda,Yes,No,3.8,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250.0,Delivery,Banashankari,Budget (₹0-300),1
Cake Ghar,Yes,No,3.8,15,Basavanagudi,Bakery,Bakery,400.0,Delivery,Banashankari,Mid Range (₹301-600),2
Energy Addaa,Yes,No,4.2,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Bhattara Bhojana,Yes,No,3.6,66,Banashankari,Quick Bites,South Indian,150.0,Delivery,Banashankari,Budget (₹0-300),1
Tandoori Knight,Yes,No,3.0,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450.0,Delivery,Banashankari,Mid Range (₹301-600),2
Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Quick Bites,Street Food,200.0,Delivery,Banashankari,Budget (₹0-300),1
Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250.0,Delivery,Banashankari,Budget (₹0-300),1
Paradise Premium,Yes,No,3.1,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700.0,Delivery,Banashankari,Premium (₹601-1000),3
Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650.0,Delivery,Banashankari,Premium (₹601-1000),3
Shakes Theory,Yes,No,4.5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300.0,Delivery,Banashankari,Budget (₹0-300),1
@Italy,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,Italian,700.0,Delivery,Banashankari,Premium (₹601-1000),3
Chilli Flakes,Yes,No,3.6,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Calcutta Cafe,Yes,No,3.5,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350.0,Delivery,Banashankari,Mid Range (₹301-600),2
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,Ice Cream,150.0,Delivery,Banashankari,Budget (₹0-300),1
Donne Biriyani House,Yes,No,3.9,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
By 2 Coffee,Yes,No,3.9,25,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,Banashankari,Budget (₹0-300),1
Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200.0,Delivery,Banashankari,Budget (₹0-300),1
Davangere Butter Dosa Hotel,Yes,No,3.8,25,Kumaraswamy Layout,Quick Bites,South Indian,150.0,Delivery,Banashankari,Budget (₹0-300),1
Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,Arabian,300.0,Delivery,Banashankari,Budget (₹0-300),1
Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Quick Bites,North Indian,350.0,Delivery,Banashankari,Mid Range (₹301-600),2
Mulabagilu Dosa,Yes,No,3.6,11,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,Banashankari,Budget (₹0-300),1
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,Cafe,500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Gokul Veg,Yes,No,3.8,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750.0,Delivery,Banashankari,Premium (₹601-1000),3
Olive - Era,Yes,No,3.3,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,Delivery,Banashankari,Mid Range (₹301-600),2
Udupi Ruchi,Yes,No,3.9,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0,Delivery,Banashankari,Budget (₹0-300),1
Madhappa Hindu Military Hotel,Yes,No,3.4,14,Banashankari,Quick Bites,South Indian,300.0,Delivery,Banashankari,Budget (₹0-300),1
Gama Gama,Yes,No,3.9,264,Banashankari,Quick Bites,South Indian,200.0,Delivery,Banashankari,Budget (₹0-300),1
The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
Pizza Hut,Yes,No,3.8,693,Banashankari,Casual Dining,"Pizza, Fast Food",750.0,Delivery,Banashankari,Premium (₹601-1000),3
Mangalore Pearl,Yes,No,3.8,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650.0,Delivery,Banashankari,Premium (₹601-1000),3
Asha Sweets Centre,Yes,No,3.6,27,Basavanagudi,Dessert Parlor,Fast Food,250.0,Delivery,Banashankari,Budget (₹0-300),1
Twiststick House,Yes,No,4.1,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Cool Corner,Yes,No,4.2,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250.0,Delivery,Banashankari,Budget (₹0-300),1
Pizza Mane,Yes,No,3.5,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150.0,Delivery,Banashankari,Budget (₹0-300),1
Dal Tadkaa,Yes,No,2.5,247,Banashankari,Casual Dining,North Indian,500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Chutney Chang,Yes,Yes,4.1,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500.0,Delivery,Banashankari,Luxury (₹1000+),4
Mystique Palate,Yes,No,4.1,337,Jayanagar,Quick Bites,"Chinese, Fast Food",300.0,Delivery,Banashankari,Budget (₹0-300),1
Thamboola,Yes,No,3.9,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800.0,Delivery,Banashankari,Premium (₹601-1000),3
Castle Rock,Yes,No,3.6,172,Uttarahalli,Casual Dining,"North Indian, Chinese",700.0,Delivery,Banashankari,Premium (₹601-1000),3
Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,Casual Dining,Vietnamese,700.0,Delivery,Banashankari,Premium (₹601-1000),3
Smacznego,Yes,No,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Delivery,Banashankari,Mid Range (₹301-600),2
