cuisines,rate,votes,location,online_order,book_table
South Indian,3.3,62,Banashankari,No,No
North Indian,3.3,62,Banashankari,No,No
Chinese,3.3,62,Banashankari,No,No
Fast Food,3.8,64,Banashankari,No,No
Bakery,3.8,64,Banashankari,No,No
North Indian,3.7,39,Banashankari,No,No
Fast Food,3.7,65,Banashankari,No,No
Street Food,3.7,65,Banashankari,No,No
Ice Cream,3.8,71,Basavanagudi,Yes,No
Desserts,3.8,71,Basavanagudi,Yes,No
Beverages,3.8,71,Basavanagudi,Yes,No
Sandwich,3.8,71,Basavanagudi,Yes,No
South Indian,3.5,52,Banashankari,No,No
South Indian,3.7,130,Banashankari,No,No
South Indian,3.5,10,Banashankari,No,No
Biryani,3.5,10,Banashankari,No,No
Bakery,3.8,45,Banashankari,No,No
Cafe,3.2,11,Banashankari,No,No
Bakery,3.2,11,Banashankari,No,No
Bakery,3.5,13,Banashankari,No,No
Desserts,3.5,13,Banashankari,No,No
Biryani,3.4,8,Banashankari,No,No
North Indian,3.4,8,Banashankari,No,No
Chinese,3.4,8,Banashankari,No,No
Fast Food,3.4,8,Banashankari,No,No
Biryani,3.2,9,Banashankari,No,No
North Indian,3.2,4,Banashankari,No,No
North Indian,3.1,29,Banashankari,No,No
Bakery,3.4,8,Banashankari,No,No
Desserts,3.4,8,Banashankari,No,No
Chinese,3.1,30,Banashankari,No,No
North Indian,3.1,30,Banashankari,No,No
South Indian,4.1,201,Banashankari,Yes,No
North Indian,4.1,201,Banashankari,Yes,No
Chinese,4.1,201,Banashankari,Yes,No
Street Food,4.1,201,Banashankari,Yes,No
Mangalorean,3.3,7,Banashankari,No,No
South Indian,3.3,7,Banashankari,No,No
North Indian,3.3,7,Banashankari,No,No
Fast Food,3.1,6,Banashankari,No,No
South Indian,3.1,6,Banashankari,No,No
Street Food,3.3,17,Banashankari,No,No
Fast Food,3.3,17,Banashankari,No,No
Ice Cream,2.9,25,Banashankari,No,No
Desserts,2.9,25,Banashankari,No,No
South Indian,3.3,8,Banashankari,No,No
South Indian,4.0,771,Banashankari,Yes,No
North Indian,4.0,771,Banashankari,Yes,No
Chinese,4.0,771,Banashankari,Yes,No
North Indian,3.0,98,Banashankari,No,No
Chinese,3.0,98,Banashankari,No,No
South Indian,3.9,47,Basavanagudi,Yes,No
South Indian,4.1,175,Jayanagar,Yes,Yes
North Indian,4.1,175,Jayanagar,Yes,Yes
Chinese,4.1,175,Jayanagar,Yes,Yes
Beverages,4.1,175,Jayanagar,Yes,Yes
South Indian,3.8,58,Banashankari,Yes,No
Chinese,3.8,58,Banashankari,Yes,No
North Indian,3.8,58,Banashankari,Yes,No
Juices,3.8,58,Banashankari,Yes,No
North Indian,3.8,540,Basavanagudi,Yes,No
Kebab,3.8,540,Basavanagudi,Yes,No
Biryani,3.8,540,Basavanagudi,Yes,No
Chinese,3.8,540,Basavanagudi,Yes,No
Chinese,3.8,124,Kumaraswamy Layout,Yes,No
North Indian,3.8,124,Kumaraswamy Layout,Yes,No
Mughlai,3.8,124,Kumaraswamy Layout,Yes,No
Rolls,3.8,124,Kumaraswamy Layout,Yes,No
North Indian,4.1,340,Banashankari,Yes,No
Mughlai,4.1,340,Banashankari,Yes,No
Fast Food,4.1,340,Banashankari,Yes,No
Burger,3.8,505,Banashankari,Yes,No
Fast Food,3.8,505,Banashankari,Yes,No
Desserts,4.1,438,Jayanagar,Yes,No
Ice Cream,4.1,438,Jayanagar,Yes,No
Beverages,4.1,438,Jayanagar,Yes,No
Fast Food,4.1,438,Jayanagar,Yes,No
Sandwich,4.1,438,Jayanagar,Yes,No
North Indian,3.7,264,Mysore Road,Yes,No
Chinese,3.7,264,Mysore Road,Yes,No
Biryani,3.7,264,Mysore Road,Yes,No
Beverages,3.7,264,Mysore Road,Yes,No
Beverages,3.9,169,Kumaraswamy Layout,Yes,No
Juices,3.9,169,Kumaraswamy Layout,Yes,No
Ice Cream,3.9,169,Kumaraswamy Layout,Yes,No
North Indian,3.0,67,Kumaraswamy Layout,Yes,No
Chinese,3.0,67,Kumaraswamy Layout,Yes,No
North Indian,3.7,97,Jayanagar,Yes,No
Mughlai,3.7,97,Jayanagar,Yes,No
Chinese,3.7,97,Jayanagar,Yes,No
Biryani,3.3,12,Basavanagudi,Yes,No
Biryani,3.3,12,Banashankari,Yes,No
Chinese,3.6,195,Jayanagar,Yes,No
Seafood,3.6,195,Jayanagar,Yes,No
Biryani,3.6,195,Jayanagar,Yes,No
Desserts,3.3,13,Basavanagudi,Yes,No
Mithai,3.3,13,Basavanagudi,Yes,No
Cafe,4.6,228,Jayanagar,Yes,No
Beverages,4.6,228,Jayanagar,Yes,No
South Indian,4.1,70,Basavanagudi,Yes,No
Chinese,4.1,70,Basavanagudi,Yes,No
Thai,4.1,364,Jayanagar,Yes,Yes
Vietnamese,4.1,364,Jayanagar,Yes,Yes
Asian,4.1,364,Jayanagar,Yes,Yes
Chinese,4.1,364,Jayanagar,Yes,Yes
Beverages,3.7,107,Basavanagudi,Yes,No
Ice Cream,3.7,107,Basavanagudi,Yes,No
South Indian,3.2,167,Kumaraswamy Layout,Yes,No
North Indian,3.2,167,Kumaraswamy Layout,Yes,No
Chinese,3.2,167,Kumaraswamy Layout,Yes,No
Juices,3.2,167,Kumaraswamy Layout,Yes,No
Mithai,4.0,115,Banashankari,Yes,No
Street Food,4.0,115,Banashankari,Yes,No
Italian,3.7,27,Banashankari,Yes,No
Pizza,3.7,27,Banashankari,Yes,No
Biryani,3.5,57,Banashankari,Yes,No
North Indian,3.8,120,Banashankari,Yes,No
Fast Food,3.8,120,Banashankari,Yes,No
Rolls,3.8,120,Banashankari,Yes,No
Bakery,3.8,15,Basavanagudi,Yes,No
Salad,4.2,64,Basavanagudi,Yes,No
Healthy Food,4.2,64,Basavanagudi,Yes,No
Sandwich,4.2,64,Basavanagudi,Yes,No
Juices,4.2,64,Basavanagudi,Yes,No
Burger,4.2,64,Basavanagudi,Yes,No
Desserts,4.2,64,Basavanagudi,Yes,No
Pizza,4.2,64,Basavanagudi,Yes,No
South Indian,3.6,66,Banashankari,Yes,No
North Indian,3.0,290,Banashankari,Yes,No
Chinese,3.0,290,Banashankari,Yes,No
Biryani,3.0,290,Banashankari,Yes,No
Kebab,3.0,290,Banashankari,Yes,No
Street Food,4.1,233,Basavanagudi,Yes,No
Fast Food,3.8,115,Kumaraswamy Layout,Yes,No
Pizza,3.8,115,Kumaraswamy Layout,Yes,No
Biryani,3.1,119,Banashankari,Yes,No
Andhra,3.1,119,Banashankari,Yes,No
Hyderabadi,3.1,119,Banashankari,Yes,No
North Indian,3.1,119,Banashankari,Yes,No
Cafe,3.9,291,Jayanagar,Yes,Yes
Burger,3.9,291,Jayanagar,Yes,Yes
Continental,3.9,291,Jayanagar,Yes,Yes
Italian,3.9,291,Jayanagar,Yes,Yes
Desserts,3.9,291,Jayanagar,Yes,Yes
Beverages,4.5,155,Jayanagar,Yes,No
Sandwich,4.5,155,Jayanagar,Yes,No
Italian,4.1,305,Kumaraswamy Layout,Yes,No
Fast Food,3.6,46,Banashankari,Yes,No
Italian,3.6,46,Banashankari,Yes,No
Beverages,3.6,46,Banashankari,Yes,No
Bengali,3.5,45,Kumaraswamy Layout,Yes,No
Chinese,3.5,45,Kumaraswamy Layout,Yes,No
Sandwich,3.5,45,Kumaraswamy Layout,Yes,No
Ice Cream,3.9,38,Banashankari,Yes,No
South Indian,3.9,441,Banashankari,Yes,No
North Indian,3.9,441,Banashankari,Yes,No
Chinese,3.9,441,Banashankari,Yes,No
Biryani,3.9,441,Banashankari,Yes,No
South Indian,3.9,25,Basavanagudi,Yes,No
North Indian,4.3,630,Jayanagar,Yes,No
Street Food,4.3,630,Jayanagar,Yes,No
Juices,4.3,630,Jayanagar,Yes,No
South Indian,3.8,25,Kumaraswamy Layout,Yes,No
Arabian,3.9,160,Kumaraswamy Layout,Yes,No
North Indian,4.2,287,Banashankari,Yes,No
South Indian,3.6,11,Basavanagudi,Yes,No
Cafe,4.1,402,Banashankari,Yes,No
North Indian,3.8,469,Basavanagudi,Yes,No
Chinese,3.8,469,Basavanagudi,Yes,No
Beverages,3.8,469,Basavanagudi,Yes,No
BBQ,3.3,511,Kumaraswamy Layout,Yes,No
Arabian,3.3,511,Kumaraswamy Layout,Yes,No
Rolls,3.3,511,Kumaraswamy Layout,Yes,No
Chinese,3.3,511,Kumaraswamy Layout,Yes,No
North Indian,3.3,511,Kumaraswamy Layout,Yes,No
Juices,3.3,511,Kumaraswamy Layout,Yes,No
Kebab,3.3,511,Kumaraswamy Layout,Yes,No
Desserts,3.3,511,Kumaraswamy Layout,Yes,No
South Indian,3.9,57,Banashankari,Yes,No
North Indian,3.9,57,Banashankari,Yes,No
Chinese,3.9,57,Banashankari,Yes,No
Street Food,3.9,57,Banashankari,Yes,No
South Indian,3.4,14,Banashankari,Yes,No
South Indian,3.9,264,Banashankari,Yes,No
Cafe,3.0,62,Banashankari,Yes,No
North Indian,3.0,62,Banashankari,Yes,No
Pizza,3.8,693,Banashankari,Yes,No
Fast Food,3.8,693,Banashankari,Yes,No
Mangalorean,3.8,242,Jayanagar,Yes,No
Seafood,3.8,242,Jayanagar,Yes,No
Chinese,3.8,242,Jayanagar,Yes,No
Biryani,3.8,242,Jayanagar,Yes,No
Fast Food,3.6,27,Basavanagudi,Yes,No
Continental,4.1,163,Basavanagudi,Yes,No
Fast Food,4.1,163,Basavanagudi,Yes,No
Street Food,4.1,163,Basavanagudi,Yes,No
Momos,4.1,163,Basavanagudi,Yes,No
Street Food,4.2,191,Basavanagudi,Yes,No
Fast Food,4.2,191,Basavanagudi,Yes,No
Pizza,3.5,32,Banashankari,Yes,No
Sandwich,3.5,32,Banashankari,Yes,No
Burger,3.5,32,Banashankari,Yes,No
Fast Food,3.5,32,Banashankari,Yes,No
North Indian,2.5,247,Banashankari,Yes,No
North Indian,4.1,2339,Jayanagar,Yes,Yes
Chinese,4.1,2339,Jayanagar,Yes,Yes
BBQ,4.1,2339,Jayanagar,Yes,Yes
Chinese,4.1,337,Jayanagar,Yes,No
Fast Food,4.1,337,Jayanagar,Yes,No
North Indian,3.9,135,Banashankari,Yes,No
Chinese,3.9,135,Banashankari,Yes,No
Continental,3.9,135,Banashankari,Yes,No
North Indian,3.6,172,Uttarahalli,Yes,No
Chinese,3.6,172,Uttarahalli,Yes,No
Vietnamese,3.6,105,Banashankari,Yes,No
Cafe,4.2,504,Banashankari,Yes,No
Mexican,4.2,504,Banashankari,Yes,No
Italian,4.2,504,Banashankari,Yes,No
Momos,4.2,504,Banashankari,Yes,No
Beverages,4.2,504,Banashankari,Yes,No
Fast Food,3.2,36,Kumaraswamy Layout,Yes,No
Street Food,3.2,36,Kumaraswamy Layout,Yes,No
North Indian,3.1,39,Kumaraswamy Layout,Yes,No
North Indian,3.1,5,Kumaraswamy Layout,Yes,No
Chinese,3.1,5,Kumaraswamy Layout,Yes,No
Biryani,3.1,5,Kumaraswamy Layout,Yes,No
Kebab,3.1,5,Kumaraswamy Layout,Yes,No
Italian,4.3,1129,Jayanagar,Yes,Yes
Salad,4.3,1129,Jayanagar,Yes,Yes
North Indian,3.9,56,Kumaraswamy Layout,Yes,No
Chinese,3.9,56,Kumaraswamy Layout,Yes,No
Desserts,4.3,860,Banashankari,Yes,No
Ice Cream,4.3,860,Banashankari,Yes,No
Andhra,3.8,412,Jayanagar,Yes,No
Seafood,3.8,412,Jayanagar,Yes,No
North Indian,3.8,412,Jayanagar,Yes,No
Chinese,3.8,412,Jayanagar,Yes,No
Mangalorean,3.9,142,Jayanagar,Yes,Yes
Seafood,3.9,142,Jayanagar,Yes,Yes
South Indian,3.9,142,Jayanagar,Yes,Yes
Andhra,3.0,23,Jayanagar,Yes,No
South Indian,3.6,143,Jayanagar,Yes,No
Biryani,3.6,143,Jayanagar,Yes,No
Chinese,3.6,143,Jayanagar,Yes,No
North Indian,3.6,143,Jayanagar,Yes,No
South Indian,2.8,80,Jayanagar,Yes,Yes
Arabian,2.8,80,Jayanagar,Yes,Yes
Chinese,2.8,80,Jayanagar,Yes,Yes
North Indian,2.8,80,Jayanagar,Yes,Yes
Seafood,2.8,80,Jayanagar,Yes,Yes
Mangalorean,2.8,80,Jayanagar,Yes,Yes
South Indian,3.6,16,JP Nagar,Yes,No
Beverages,4.4,181,Jayanagar,Yes,No
Tea,4.4,181,Jayanagar,Yes,No
North Indian,3.8,70,Jayanagar,Yes,No
Street Food,3.8,70,Jayanagar,Yes,No
Pizza,3.8,164,Basavanagudi,Yes,No
Italian,3.8,164,Basavanagudi,Yes,No
Cafe,3.6,58,Kumaraswamy Layout,Yes,No
Burger,3.6,58,Kumaraswamy Layout,Yes,No
Beverages,3.6,58,Kumaraswamy Layout,Yes,No
North Indian,3.8,148,Basavanagudi,No,No
Cafe,3.8,148,Basavanagudi,No,No
Chinese,3.8,148,Basavanagudi,No,No
Fast Food,3.8,148,Basavanagudi,No,No
South Indian,3.9,206,Basavanagudi,No,No
Mangalorean,3.9,206,Basavanagudi,No,No
South Indian,3.6,16,Mysore Road,No,No
North Indian,3.7,217,Basavanagudi,No,No
Chinese,3.7,217,Basavanagudi,No,No
South Indian,3.7,217,Basavanagudi,No,No
Fast Food,3.7,217,Basavanagudi,No,No
Juices,3.7,217,Basavanagudi,No,No
Andhra,3.6,46,Basavanagudi,No,No
South Indian,3.6,46,Basavanagudi,No,No
Biryani,3.6,46,Basavanagudi,No,No
North Indian,3.6,46,Basavanagudi,No,No
Fast Food,3.8,148,Basavanagudi,No,No
Street Food,3.8,148,Basavanagudi,No,No
Desserts,3.4,30,Basavanagudi,No,No
North Indian,3.6,8,Mysore Road,No,No
South Indian,3.6,8,Mysore Road,No,No
Andhra,3.6,8,Mysore Road,No,No
Chinese,3.6,8,Mysore Road,No,No
South Indian,3.3,4,Jayanagar,No,No
Bakery,3.5,15,Basavanagudi,No,No
Street Food,3.4,9,Uttarahalli,Yes,No
South Indian,3.7,31,Mysore Road,Yes,No
North Indian,3.7,31,Mysore Road,Yes,No
North Indian,2.9,177,Jayanagar,Yes,No
Chinese,2.9,177,Jayanagar,Yes,No
Biryani,2.9,177,Jayanagar,Yes,No
Andhra,2.9,177,Jayanagar,Yes,No
Mangalorean,2.9,177,Jayanagar,Yes,No
Mithai,3.7,22,Basavanagudi,Yes,No
Desserts,3.7,22,Basavanagudi,Yes,No
Juices,3.5,10,Kumaraswamy Layout,Yes,No
Beverages,3.5,10,Kumaraswamy Layout,Yes,No
Salad,3.7,136,Banashankari,Yes,No
Fast Food,3.7,136,Banashankari,Yes,No
North Indian,2.9,35,Kumaraswamy Layout,Yes,No
Chinese,2.9,35,Kumaraswamy Layout,Yes,No
Juices,4.1,185,Jayanagar,Yes,No
Desserts,4.1,185,Jayanagar,Yes,No
Cafe,3.2,17,Jayanagar,Yes,No
Fast Food,3.2,17,Jayanagar,Yes,No
South Indian,3.8,155,Mysore Road,Yes,No
North Indian,3.8,155,Mysore Road,Yes,No
Chinese,3.8,155,Mysore Road,Yes,No
Street Food,3.8,155,Mysore Road,Yes,No
South Indian,3.8,42,Banashankari,Yes,No
North Indian,3.8,42,Banashankari,Yes,No
Chinese,3.8,42,Banashankari,Yes,No
North Indian,3.8,286,Basavanagudi,Yes,No
North Indian,3.8,160,Banashankari,Yes,No
Chinese,3.8,160,Banashankari,Yes,No
North Indian,3.8,59,Banashankari,Yes,No
Chinese,3.8,59,Banashankari,Yes,No
Seafood,3.5,90,Jayanagar,Yes,No
Biryani,3.5,90,Jayanagar,Yes,No
South Indian,3.5,90,Jayanagar,Yes,No
North Indian,3.5,90,Jayanagar,Yes,No
Chinese,3.5,90,Jayanagar,Yes,No
South Indian,3.7,51,Kumaraswamy Layout,Yes,No
Mangalorean,3.7,51,Kumaraswamy Layout,Yes,No
South Indian,4.0,89,Jayanagar,Yes,No
Beverages,4.0,89,Jayanagar,Yes,No
Fast Food,3.6,18,Banashankari,Yes,No
Rolls,3.6,18,Banashankari,Yes,No
North Indian,3.9,40,Basavanagudi,Yes,No
Chinese,3.9,40,Basavanagudi,Yes,No
South Indian,3.9,40,Basavanagudi,Yes,No
Fast Food,3.9,40,Basavanagudi,Yes,No
Fast Food,2.5,35,Basavanagudi,Yes,No
North Indian,3.4,89,Jayanagar,Yes,No
Chinese,3.4,89,Jayanagar,Yes,No
Rolls,3.4,89,Jayanagar,Yes,No
Beverages,3.2,11,Basavanagudi,Yes,No
Fast Food,3.2,11,Basavanagudi,Yes,No
Italian,3.6,62,Banashankari,Yes,No
Fast Food,3.6,62,Banashankari,Yes,No
